transcription	normalisation	flag
གྲོགོ	གྲོག་པོ	1
གྲོགོཾ	གྲོག་མོ	1
གྲོཊོ	གྲོགས་པོ	1
གྲོཊོ	གྲོགས་མོ	1
གྲོཊ	གྲོགས	1
གྲོཌ	གྲོགས	1
གྲོངེར	གྲོང་ཁྱེར	1
གྲོརེ	གྲོང་ཁྱེར	1
གྲོེངར	གྲོང་ཁྱེར	1
གྲོེར	གྲོང་ཁྱེར	1
གྲོལར	གྲོང་བར	1
གྲོངལ	གྲོང་རྡལ	1
གྲོནྖུང་	གྲོན་ཆུང་	1
གྲོལོ	གྲོལ་ལོ	1
གྲྭགཟུཊ	གྲྭ་གཟུགས	1
གྲྭལྔི	གྲྭ་ལྔའི	1
གླངེན	གླང་ཆེན	1
གླངོན	གླང་པོ་ཅན	1
གླངོེ	གླང་པོ་ཆེ	1
གློངེའི	གླང་པོ་ཆེའི	1
གླངོ་	གླང་པོ	1
གླངེན	གླན་ཆེན	1
གླིངྠོགྃ	གླིང་ཐོག་མ	1
གླིངཕྲན་༨	གླིང་ཕྲན་བརྒྱད	1
གླིངྲན	གླིང་ཕྲན	1
གླུཞས	གླུ་གཞས	1
གླུར	གླུ་གར	1
གླེཾ	གླེགས་བམ	1
གླེམ	གླེགས་བམ	0
གླེགསུ	གླེགས་བུ	1
གླེཌ	གླེགས	1
གླེྃཞིའྡིེ	གླེང་གཞིའི་སྡེ	1
གླེབྱ	གླེབ་བྱ	1
གླེབྱེད	གླེབ་བྱེད	1
གློཅོང་	གློ་གཅོང་	1
གློསང་	གློ་གསང་	1
གློུརུ	གློ་བུར་དུ	1
གློུར	གློ་བུར	1
གློུར	གློ་བུར	1
གློུར	གློ་འབུར	1
ངྼོ	ང་རོ	1
ངགང་	ངག་དབང་	1
ངངམ་ཤུགས	ངང་ངམ་ཤུགས	1
ངངུར	ངང་ངུར	1
ངངི་	ངང་རིང་	1
ངནྱང་	ངན་ཀྱང་	1
ངནོ	ངན་ངོན	1
ངནྲོ	ངན་འགྲོ	1
ངནསྒྲེཌ	ངན་སྒྲེགས	1
ངཾས	ངམས	1
ངརབྲེལཚཾས	ངར་འབྲེལ་མཚམས	1
ངུག	ངུ་ངག	0
ངུརིལ	ངུར་རིལ	1
ངུརིག	ངུར་སྨྲིག	1
ངིུག	ངུར་སྨྲིག	1
ངཻས	ངེས་ངེས	1
ངེསའི	ངེས་པའི	1
ངེསར	ངེས་པར	1
ངེསུ	ངེས་པར་དུ	1
ངེསྙེད	ངེས་རྙེད	1
ངེསེ	ངེས་ཤེས	1
ངེེས	ངེས་ཤེས	1
ངེསྲེག	ངེས་སྲེག	1
ངེསོ	ངེས་སོ	1
ངཽ	ངོ་བོ	1
ངོ༹རན	ངོ་མཚར་ཅན	1
ངོ༹རེད	ངོ་མཚར་མེད	1
ངོཾ༹ར	ངོ་མཚར	1
ངོ༹ར	ངོ་མཚར	1
ངོཾཚར	ངོ་མཚར	1
ངོ༹བ	ངོ་ཚབ	1
ངོསྲེ	ངོ་སྲེ	1
ངོསུ	ངོས་སུ	1
ཅླག	ཅ་ལག	1
ཅགིས	ཅག་གིས	1
ཅགྲུྃ	ཅག་གྲུམ	1
ཅགྕགྯོས	ཅག་ཅག་ཟོས	1
ཅགཀར	ཅག་དཀར	1
ཅངལ	ཅང་ངལ	1
ཅངོ་	ཅང་ཅོང་	1
ཅངྃདེ	ཅང་མེད	1
ཅནྱི	ཅན་གྱི	1
ཅནུ	ཅན་དུ	1
ཅནེ	ཅན་ནེ	1
ཅནེ	ཅན་ནོ	1
ཅམུ	ཅམ་བུ	1
ཅནྃདེ	ཅན་མེད	1
ཅྃར	ཅར་མར	1
ཅརེ	ཅར་རེ	1
ཅལོ	ཅལ་ཅོལ	1
ཅིསུཾ	ཅི་གསུང་	1
ཅིརྲོལ	ཅི་གྲོལ	1
ཅིོག	ཅི་ཅོག	1
ཅྲིག	ཅི་དྲག	1
བིདེརྃཆི	ཅི་བདེར་མཆི	1
ཅིཛོད	ཅི་མཛོད	1
ཅིདེྃ	ཅི་མེད	1
ཅིཙུག	ཅི་ཙུག	1
ཅིཚུག	ཅི་ཚུག	1
ཅིདོད	ཅི་འདོད	1
ཅྲིའི	ཅི་འདྲའི	1
ཅྟི	ཅི་ལྟ	1
ཅྟིུ	ཅི་ལྟ་བུ	1
ཅིརྟ	ཅི་ལྟར	1
ཅྟིར	ཅི་ལྟར	1
ཅྟིེ	ཅི་སྟེ	1
ཅིགི	ཅིག་གི	1
ཅིགིས	ཅིག་གིས	1
ཅིགྕར	ཅིག་ཅར	1
ཅིགའི	ཅིག་པའི	1
ཅིགྴོས	ཅིག་ཤོས	1
ཅིརང་	ཅིར་ཡང་	1
ཅིསྱང་	ཅིས་ཀྱང་	1
ཅུརྩ	ཅུ་རྩ	1
ཅེུང་	ཅུང་པེང་	1
ཅུངཟདརྃ	ཅུང་ཟད་དམར	1
ཅུཅཟདདྃ	ཅུང་ཟད་དམར	1
ཅུཟདཙྃ	ཅུང་ཟད་ཙམ	1
ཅུང༹ད	ཅུང་ཟད	1
ཅུངད	ཅུང་ཟད	1
ཅུངཟད	ཅུང་ཟད	1
ཅུངྯད	ཅུང་ཟད	1
ཅེུང་	ཅུང་སེང་	1
ཅྲཻ	ཅེ་རེ	1
ཅྱ྄ེང་	ཅེ་སྤྱང་	1
ཅེརེ	ཅེར་རེ	1
ཅེསུངས་པ	ཅེས་གསུངས་པ	1
ཅེསྱ་པ	ཅེས་གསུངས་པ	1
ཅེུངསོ	ཅེས་གསུངས་སོ	1
ཅེུངསོ	ཅེས་གསུངས་སོ	1
ཅེསུངསོ	ཅེས་གསུངས་སོ	1
ཅེསུང་	ཅེས་གསུངས	1
ཅེསྟན་པ	ཅེས་བསྟན་པ	1
ཅེསྟཽད	ཅེས་བསྟོད་དོ	1
ཅེསོ	ཅེས་སོ	1
ཅེསྒྱུརོ	ཅེས་སྒྱུར་རོ	1
ཅེསྨྲསོ	ཅེས་སྨྲས་སོ	1
ཅྟཽ	ཅོ་ཏོ	1
ཅྠཽ	ཅོ་ཐོ	1
ཅོཅད	ཅོ་བཅད	1
ཅློེ	ཅོ་ལེ	1
ཅོགྑེབས	ཅོག་ཁེབས	1
ཅོགུར	ཅོག་གུར	1
ཅོགེ	ཅོག་གེ	1
ཅཽག	ཅོག་ཅོག	1
ཅོགེཙ	ཅོག་ཙེ	1
ཅིངྮི	ཅོང་ཞི	1
ཅྼཽང་	ཅོང་རོང་	1
ཅོྃ	ཅོམ	1
ཅོལྖུང་	ཅོལ་ཆུང་	1
ཅོལེ	ཅོལ་ལེ	1
ཅོལེབ	ཅོལ་ལེབ	1
ཅོལོ	ཅོལ་ལོ	1
ཆཉིྃའི	ཆ་མཉམ་པའི	1
ཆཛིན	ཆ་འཛིན	1
མྶྡིུགཉཾམ	ཆ་ལུགས་མི་སྡུག་ཉམས	1
ཆླུཌ	ཆ་ལུགས	1
ཆལུཊ	ཆ་ལུགས	1
ཆླུགས	ཆ་ལུགས	1
ཆླུཊ	ཆ་ལུགས	1
ཆེིལེ	ཆ་ལེ་ཆིལ་ལེ	1
ཆས	ཆ་ཤས	0
ཆེས	ཆ་ཤེས	0
ཆགྲུམ	ཆག་གྲུམ	1
ཆཱག	ཆག་ཆག	1
ཆགག	ཆག་ཆག	1
ཆགག	ཆག་ཆག	1
ཆཊ་ཐོཊ	ཆགས་ཐོགས	1
ཆགསྡང་	ཆགས་སྡང་	1
ཆགསྤྱོད	ཆགས་སྤྱོད	1
ཆཌ	ཆགས	1
ཆངུ་	ཆང་ཆུང་	1
ཆངསིང་	ཆང་བསིང་	1
ཆངཞན	ཆང་ཞན	1
ཆྙཾལ	ཆང་སྙལ	1
ཆདོན	ཆད་དོན	1
ཆྡ	ཆད	1
ཆབཟང་	ཆབ་བཟང་	1
ཆབྲིདདིགྲོས	ཆབ་སྲིད་སྲིད་གྲོས	1
ཆའྃ	ཆའམ	1
ཆརབབྨྱུརཐིམོ	ཆར་བབ་མྱུར་ཐིམ་མོ	1
ཆལི	ཆལ་ཆིལ	1
ཆསུ་ཞུགས	ཆས་སུ་ཞུགས	1
ཆསུ་ཞུཊ	ཆས་སུ་ཞུགས	1
ཆིབསུཐབསུ	ཆིབས་བསུ་ཐབ་བསུ	1
ཆིབསུ	ཆིབས་བསུ	1
ཆིབསྒྱུར	ཆིབས་བསྒྱུར	1
ཆིབསྐྱེལ	ཆིབས་སྐྱེལ	1
ཆཱིལ	ཆིལ་ཆིལ	1
ཆེུ་བ	ཆུ་ཆེ་བ	1
ཆེུན	ཆུ་ཆེན	1
ཆོུད་པ	ཆུ་ཆོད་པ	1
ཆིུལ	ཆུ་དཀྱིལ	1
ཆོུ༤	ཆུ་བོ་བཞི	1
ཆོུ	ཆུ་བོ	1
ཆྱུ	ཆུ་བྱ	1
ཆོུ༹ད	ཆུ་ཚོད	1
ཆིུ༹ན	ཆུ་འཛིན	1
ཆེུལ	ཆུ་ཤེལ	1
ཆོུར	ཆུ་སྐོར	1
ཆོུད	ཆུ་སྟོད	1
ཆོུད	ཆུ་སྣོད	1
ཆུད	ཆུ་སྨད	1
ཆུཾད	ཆུ་སྨད	1
ཆུསྲདྱིནཾ	ཆུ་སྲད་ཀྱིན་ནམ	1
ཆྲིུནྖེ	ཆུ་སྲིན་ཆེ	1
ཆིུན	ཆུ་སྲིན	1
ཆྲིན	ཆུ་སྲིན	1
ཆྲིུན	ཆུ་སྲིན	1
ཆུཌ	ཆུགས	1
ཆུངུ་	ཆུང་ངུ་	1
ཆོུང་	ཆུང་ངོ་	1
ཆུུང་	ཆུང་ཆུང་	1
ཆུངི་	ཆུང་བའི	1
ཆུངང་	ཆུང་ཡང་	1
ཆུངྶྲི	ཆུང་སྲི	1
ཆུདྯོསོངང་	ཆུད་ཟོས་སོང་	1
ཆུབཉི	ཆུབ་ཉི	1
ཆུབི	ཆུབ་ཉི	1
ཆུབྙི	ཆུབ་ཉི	1
ཆྒེེོ	ཆེ་གེ་མོ	1
ཆྒོེ་ཆྒོེ	ཆེ་གེ་མོ	1
ཆྒོེེ་ཆྨོེེ	ཆེ་གེ་མོ	1
ཆེུང་	ཆེ་ཆུང་	1
ཆེུང་	ཆེ་ཆུང་	1
ཆེསེ	ཆེ་ཆེས	1
ཆེར	ཆེ་བར	0
ཆེགོ	ཆེ་མཆོག	1
ཆྱེོག	ཆེ་མཆོག	1
ཆེགོེན	ཆེ་མཆོག་ཆེན	1
ཆྱོེ	ཆེ་མཆོག	1
ཆེངི་	ཆེ་ཞིང་	1
ཆེོས	ཆེ་ཤོས	1
ཆྶྲེི	ཆེ་སྲི	1
ཆེདུ	ཆེད་དུ	1
ཆེནོ	ཆེན་པོ	1
ཆེོ	ཆེན་པོ	1
ཆོེན	ཆེན་པོ	1
ཆེནོའི	ཆེན་པོའི	1
ཆེནོི	ཆེན་པོའི	1
ཆེནོར	ཆེན་པོར	1
ཆེནོསློབྲིད	ཆེན་པོས་སློབ་ཁྲིད	1
ཆེནོཾཟུངསྖེན	ཆེན་མོ་གཟུངས་ཆེན	1
ཆེནོྃ	ཆེན་མོ	1
ཆཻམ	ཆེམ་ཆེམ	1
ཆཻར	ཆེས་ཆེར	1
ཆྒོ	ཆོ་ག	1
ཆོེན	ཆོ་ཆེན	1
ཆྲོུལྃཆོད	ཆོ་ཕྲུལ་མཆོད	1
ཆྲོུལ	ཆོ་འཕྲུལ	1
ཆཽ	ཆོ་ལོ	1
ཆོགའི	ཆོག་པའི	1
ཆོྃས	ཆོམས	1
ཆོདརོད	ཆོད་པར་གཅོད	1
ཆོདར	ཆོད་པར	1
ཆོཾ	ཆོམ	1
ཆོསྱི་དབངྱུག	ཆོས་ཀྱི་དབང་ཕྱུག	1
ཆོསྱི་དབདྱུག	ཆོས་ཀྱི་དབང་ཕྱུག	1
ཆོསྱངིསིུ	ཆོས་ཀྱི་དབྱིངས་སུ	1
ཆོསྱིངིསུ	ཆོས་ཀྱི་དབྱིངས་སུ	1
ཆོསྱི་ཕྱགྱ	ཆོས་ཀྱི་ཕྱག་རྒྱ	1
ཆོསྱི་འཁཽར	ཆོས་ཀྱི་འཁོར་ལོ	1
ཆོསྱི་རྒྱལོཾ	ཆོས་ཀྱི་རྒྱལ་མོ	1
ཆོསྱི་རྗེསུ	ཆོས་ཀྱི་རྗེས་སུ	1
ཆོསྱི་རྣཾ་གྲངས	ཆོས་ཀྱི་རྣམ་གྲངས	1
ཆོསྱི	ཆོས་ཀྱི	1
ཆོསུམ	ཆོས་གསུམ	1
ཆོསུཾ	ཆོས་གསུམ	1
ཆོསིད	ཆོས་ཉིད	1
ཆོསངགེུནྶྡེ	ཆོས་དང་དགེ་འདུན་སྡེ	1
ཆོསྱིངསུ་བསྡུས	ཆོས་དབྱིངས་སུ་བསྡུས	1
ཆོསྱིངས	ཆོས་དབྱིངས	1
ཆྱོངིས	ཆོས་དབྱིངས	1
ཆྱོིངས	ཆོས་དབྱིངས	1
ཆོསྟན་པ	ཆོས་བསྟན་པ	1
ཆྱོདེ་རྣྱོར	ཆོས་བྱེད་རྣལ་འབྱོར	1
ཆྱོདེ	ཆོས་བྱེད	1
ཆོསཾ༹ས	ཆོས་མཚམས	1
ཆོས༹ད	ཆོས་མཛད	1
ཆོས༹ན	ཆོས་ཚན	1
ཆོསཽར	ཆོས་འཁོར་བསྐོར	1
ཆཽསར	ཆོས་འཁོར	1
ཆོསོར	ཆོས་འཁོར	1
ཆོསེལ	ཆོས་འཕེལ	1
ཆོསྲུལ	ཆོས་འཕྲུལ	1
ཆོསྱུང་	ཆོས་འབྱུང་	1
ཆྱོུང་	ཆོས་འབྱུང་	1
ཆྱོུང་	ཆོས་འབྱུང་	1
ཆོསྱོར	ཆོས་འབྱོར	1
ཆོསྲེལ	ཆོས་འབྲེལ	1
ཆོསྱལྲི	ཆོས་རྒྱལ་ཁྲི	1
ཆོསུགས	ཆོས་ལུགས	1
ཆོསུཊ	ཆོས་ལུགས	1
ཆོསུ	ཆོས་སུ	1
ཆོསྐད	ཆོས་སྐད	1
ཆོསྐུ	ཆོས་སྐུ	1
ཆོསྐུའི	ཆོས་སྐུའི	1
ཆོསྐྱོང་	ཆོས་སྐྱོང་	1
ཆོསྐྱོང་སྲུངཾ	ཆོས་སྐྱོང་	1
ཆོསྱོང་	ཆོས་སྐྱོང་	1
ཆྱཽང་	ཆོས་སྐྱོང་	1
ཆཽསྱང་	ཆོས་སྐྱོང་	1
ཆོསྐྱོབ་ཀྱིས༹དའི	ཆོས་སྐྱོབ་ཀྱིས་མཛད་པའི	1
ཆོསྐྱོབསྡུས	ཆོས་སྐྱོབས་སྡུས	1
ཆོསྒྲོགས	ཆོས་སྒྲོགས	1
ཆོསྒྲོཊ	ཆོས་སྒྲོགས	1
ཆོསྟོན	ཆོས་སྟོན	1
ཆོསྡེ	ཆོས་སྡེ	1
ཆོསེལ	ཆོས་སྤེལ	1
ཆོསྤྱོད	ཆོས་སྤྱོད	1
ཆོསྨན	ཆོས་སྨན	1
ཆོསྨྲ་བ	ཆོས་སྨྲ་བ	1
ཆོསྲིད	ཆོས་སྲིད	1
ཆོསྲུང་	ཆོས་སྲུང་	1
ཇཾ	ཇ་མ	1
ཇིནི	ཇི་བཞིན	1
ཇིར	ཇི་ལྟར	1
ཇྟིར	ཇི་ལྟར	1
ཇིདིུ	ཇི་སྲིད་དུ	1
ཇིསྲིདཚོའི	ཇི་སྲིད་འཚོའི	1
ཇིདི	ཇི་སྲིད	1
ཇིིད	ཇི་སྲིད	1
ཇོོ	ཇོ་ཇོ	1
ཇཽ	ཇོ་བོ	1
ཇོོ	ཇོ་བོ	1
ཇཽའི	ཇོ་བོའི	1
ཇཽཾ	ཇོ་མོ	1
ཇཽམ	ཇོ་མོ	1
ཇོོ	ཇོ་མོ	1
ཇོོོོོོོའ	ཇོབོཇོམོམཇོ་མོ་བཞོབ	1
ཉྱུ	ཉ་ཀྱུ	1
ཉྱིྃ	ཉ་ཁྱིམ	1
ཉྒང་	ཉ་གང་	1
ཉྒའང་	ཉ་གའང་	1
ཉྒའོ	ཉ་གའོ	1
ཉགཅིག	ཉག་གཅིག	1
ཉྖུང་	ཉ་ཆུང་	1
ཉཱག	ཉག་ཉག	1
ཉགོ	ཉག་ཉོག	1
ཉངུ་	ཉང་ཉུང་	1
ཉནོས	ཉན་ཐོས	1
ཐནོས	ཉན་ཐོས	1
ཉབོ	ཉབ་ཉོབ	1
ཉཾག	ཉམ་ཐག	1
ཉེ་བསྟེ	ཉ་བ་སྟེ	1
ཉྨིག	ཉ་མིག	1
ཉྨིདྖེ	ཉ་མིད་ཆེ	1
ཉོྃ	ཉ་མོ	1
ཉྨོ	ཉ་མོ	1
ཉཚང་	ཉ་ཚང་	1
ཉཚེས	ཉ་ཚེས	1
ཉཛིནབྱེདེ	ཉ་འཛིན་བྱེད་དེ	1
ཉླྕིབས	ཉ་ལྕིབས	1
ཉླྟོ	ཉ་ལྟོ	1
ཉྐྱོབ	ཉ་སྐྱོབ	1
ཉྟོངདྱད	ཉ་སྟོང་བརྒྱད	1
ཉགཅིག	ཉག་གཅིག	1
ཉགེ	ཉག་གེ	1
ཉྠག	ཉག་ཐག	1
ཉགྲ	ཉག་ཕྲ	1
ཉགྲནྃདའ	ཉག་ཕྲན་མདའ	1
ཉགྠྃལི	ཉག་མཐིལ	1
ཉགྃདའ	ཉག་མདའ	1
ཉགོྃ	ཉག་མོ་མ	1
ཉགྡོ	ཉག་རྡོ	1
ཉགླ	ཉག་ལ	1
ཉགིང་	ཉག་ཤིང་	1
ཉགྲང་	ཉག་སྲང་	1
ཉངིར	ཉང་ཁྲིར	1
ཉེང་	ཉང་ངེ་	0
ཉཾ	ཉང་	1
ཉནོསྱི	ཉན་ཐོས་ཀྱི	1
ཉནྠོསྱི	ཉན་ཐོས་ཀྱི	1
ཉོསི	ཉན་ཐོས་ཀྱི	1
ཉནསྡེ	ཉན་ཐོས་སྡེ	1
ཉོསྡེ	ཉན་ཐོས་སྡེ	1
ཉནོསློབ	ཉན་ཐོས་སློབ	1
ཉནྠོས	ཉན་ཐོས	1
ཉོས	ཉན་ཐོས	0
ཉནྱེདབངོ་	ཉན་བྱེད་དབང་བོ	1
ཉནྻིག	ཉན་ཡིག	1
ཉནྲང་	ཉན་རང་	1
ཉྲང་	ཉན་རང་	1
ཉནྣ	ཉན་རྣ	1
ཉབྙོབ	ཉབ་ཉོབ	1
ཉེབ	ཉབ་བེ	1
ཉྃཁྱིལ	ཉམ་ཁྱིལ	1
ཉྖུྃང་	ཉམ་ཆུང་	1
ཉྃསེདེྃ	ཉམ་ཉེས་མེད	1
ཉྃག	ཉམ་ཐག	1
ཉྠྃག	ཉམ་ཐག	1
ཉམན	ཉམ་དམན	1
ཉམས	ཉམ་དམས	0
ཉྃཚད	ཉམ་ཚད	1
ཉྃ	ཉམ	1
ཉྃསྲིད	ཉམས་ཁྲིད	1
ཉྃསོ	ཉམས་གསོ	1
ཉྃསྒུད	ཉམས་གུད	1
ཉྃསྒྲིབ	ཉམས་གྲིབ	1
ཉྃསླུ	ཉམས་གླུ	1
ཉྃསྖགྖེ	ཉམས་ཆག་ཆེ	1
ཉྃསྖེནསོ	ཉམས་ཆེན་པོས	1
ཉྕོྃས	ཉམས་བཅོས	1
ཉྃསྗིད	ཉམས་བརྗིད	1
ཉྃསྟས	ཉམས་བརྟས	1
ཉྃསྱེདྱི	ཉམས་བྱེད་ཀྱི	1
ཉྃསགུྃར	ཉམས་མགུར	1
ཉྃསྃཚར	ཉམས་མཚར	1
ཉྃསྃདེ	ཉམས་མེད	1
ཉཾསགུར	ཉམས་མགུར	1
ཉྃསྲོངོན	ཉམས་མྱོང་མངོན	1
ཉམྱོང་	ཉམས་མྱོང་	1
ཉྃསཚོད	ཉམས་ཚོད	1
ཉྃསྱིངྖེ	ཉམས་འགྱིང་ཆེ	1
ཉྃསྱུར	ཉམས་འགྱུར	1
ཉྃསཛིནའི	ཉམས་འཛིན་པའི	1
ཉྃསྻིག	ཉམས་ཡིག	1
ཉྃསྒྱུད	ཉམས་རྒུད	1
ཉྃསྙིང་	ཉམས་རྙིང་	1
ཉྃསྟོངཕེལ	ཉམས་རྟོགས་འཕེལ	1
ཉྃསརྩལ	ཉམས་རྩལ	1
ཉཾསེན	ཉམས་ལེན	1
ཉྃནེ	ཉམས་ལེན	1
ཉྃསླེན	ཉམས་ལེན	1
ཉྃསྡན	ཉམས་ལྡན	1
ཉྃསྴར	ཉམས་ཤར	1
ཉྃསད	ཉམས་སད	1
ཉྃསུ	ཉམས་སུ	1
ཉམསུ	ཉམས་སུ	1
ཉཾསུ	ཉམས་སུ	1
ཉཾསོ	ཉམས་སོ	1
ཉྃསྟབས	ཉམས་སྟབས	1
ཉྃསྟོབསྖེ	ཉམས་སྟོབས་ཆེ	1
ཉཾསྟོབས	ཉམས་སྟོབས	1
ཉཾསྣང་	ཉམས་སྣང་	1
ཉྃསྨད	ཉམས་སྨད	1
ཉྃསྨོད	ཉམས་སྨོད	1
ཉྃས	ཉམས	1
ཉརྱེད	ཉར་བྱེད	1
ཉརྃ	ཉར་མ	1
ཉརཚཌ	ཉར་ཚགས	1
ཉརཛིན	ཉར་འཛིན	1
ཉལྲི	ཉལ་ཁྲི	1
ཉལྒུར	ཉལ་གུར	1
ཉལྒོས	ཉལ་གོས	1
ཉལྱིསགྲོ	ཉལ་གྱིས་འགྲོ	1
ཉལྖསོཌ	ཉལ་ཆས་སོགས	1
ཉལི	ཉལ་ཉིལ	1
ཉལྠ	ཉལ་ཐ	1
ནལྡུད	ཉལ་དུད	1
ཉལའི	ཉལ་བའི	1
ཉལྱེདྃཚན	ཉལ་བྱེད་མཚན	1
ཉལྱེད	ཉལ་བྱེད	1
ཉལྲོ	ཉལ་འགྲོ	1
ཉལྲོའི	ཉལ་འགྲོའི	1
ཉལྡན	ཉལ་ལྡན	1
ཉནོསྱི	ཉས་ཐོས་ཀྱི	1
ཉྱིིམོ	ཉི་ཁྱིམ་མོ	1
ཉྲི	ཉི་ཁྲི	1
ཉིདུཌ	ཉི་གདུགས	1
ཉིུར	ཉི་གུར	1
ཉྖི	ཉི་ཆ	1
ཉྖིད	ཉི་ཆད	1
ཉིཀྱིལ	ཉི་དཀྱིལ	1
ཉིགའ	ཉི་དགའ	1
ཉྲིདོ	ཉི་དྲོད	1
ཉིོས	ཉི་དྲོས	1
ཉྲིསོ	ཉི་དྲོས	1
ཉིུབ	ཉི་ནུབ	1
ཉིུབ	ཉི་ནུབ	1
ཉྱིདེ	ཉི་ཕྱེད	1
ཉིརྙན	ཉི་བརྙན	1
ཉིསྲོས	ཉི་བསྲོས	1
ཉིུལྲེ	ཉི་བུལ་བསྲེ	1
ཉིན་མཚན	ཉི་མ་དང་མཚན་མོ	1
ཉྨིཕུལ	ཉི་མ་འཕུལ	1
ཉྨིཤར	ཉི་མ་ཤར	1
ཉིཾ	ཉི་མ	1
ཉྨི	ཉི་མ	1
ཉིྨ	ཉི་མ	1
ཉིདྃངསྱལ	ཉི་མདངས་གསལ	1
ཉྨིའིཁོརུག	ཉི་མའི་ཁོར་ཡུག	1
ཉྨིསཞད	ཉི་མའི་བཞད	1
ཉྨིའིདྃའདོད	ཉི་མའི་མདའ་འདོད	1
ཉྨིའིཚད	ཉི་མའི་ཚད	1
ཉྨིའིདོར	ཉི་མའི་འོད་ཟེར	1
ཉྨིའིདོ	ཉི་མའི་འོད	1
ཉྨིའིརྩ	ཉི་མའི་རྩ	1
ཉྨིའི	ཉི་མའི	1
ཉྨིའོ	ཉི་མའོ	1
ཉྨིརླག	ཉི་མར་ལག	1
ཉྨྃར	ཉི་མར	1
ཉིདེཾར	ཉི་མེད་པར	1
ཉིར	ཉི་མྱུར	1
ཉིུར	ཉི་མྱུར	1
ཉིཚེའི	ཉི་ཚེ་བའི	1
ཉིཚེའི	ཉི་ཚེའི	1
ཉིཟེར	ཉི་ཟེར	1
ཉླིདྃའི	ཉི་ཟླ་པདྨའི	1
ཉྱིཁྱིསྃ	ཉི་ཟླ་འཁྱིམས	1
ཉླི	ཉི་ཟླ	1
ཉིུར	ཉི་ཞུར	1
ཉིཁྱིསྃ	ཉི་འཁྱིམས	1
ཉིཆར	ཉི་འཆར	1
ཉིདེ	ཉི་འདེ	1
ཉིཛིན	ཉི་འཛིན	1
ཉྐིང་	ཉི་རྐང་	1
ཉྐིར	ཉི་རྐར	1
ཉྡིུལ	ཉི་རྡུལ	1
ཉྡིགོ	ཉི་ལྡོག	1
ཉིུའིཚིག	ཉི་ཤུ་བའི་ཚིག	1
ཉིུའིགྲོལ	ཉི་ཤུ་བའི་འགྲོལ	1
ཉིུརྩ	ཉི་ཤུ་རྩ	1
ཉིུ	ཉི་ཤུ	1
ཉིུ	ཉི་ཤུ	1
ཉིུརྃ	ཉི་ཤུར་མ	1
ཉྐྱིསེ	ཉི་སྐྱེས	1
ཉིགྣི	ཉིག་ནི	1
ཉིངྑུ	ཉིང་ཁུ	1
ཉིངྖང་	ཉིང་ཆགས	1
ཉིངྟོར	ཉིང་ཏོར	1
ཉིངགོས	ཉིང་དགོས	1
ཉིངྦྲན	ཉིང་བྲན	1
ཉིངྃཚྃས	ཉིང་མཚམས	1
ཉིངཚ	ཉིང་ཚ	1
ཉིངཁྲུལ	ཉིང་འཁྲུལ	1
ཉིངླག	ཉིང་ལག	1
ཉིངྲུལ	ཉིང་སྤྲུལ	1
ཉིངློབ	ཉིང་སློབ	1
ཉིདྱིས	ཉིད་ཀྱིས	1
ཉིདྕག	ཉིད་ཅག	1
ཉིདང་	ཉིད་དང་	1
ཉིདུ	ཉིད་དུ	1
ཉིནྑ	ཉིན་ཁ	1
ཉིུང་	ཉིན་གུང་	1
ཉིུང་	ཉིན་གུང་	1
ཉིནྱ	ཉིན་གླ	1
ཉིནོཾས	ཉིན་ངོས	1
ཉིནྖད	ཉིན་ཆད	1
ཉིནྖས	ཉིན་ཆས	1
ཉིནྠིར	ཉིན་ཐོར	1
ཉིནཀར	ཉིན་དཀར	1
ཉིདངོས	ཉིན་དངོས	1
ཉིནག	ཉིན་ནག	1
ཉིནྥྱེ	ཉིན་ཕྱེ	1
ཉིནྱེདྻོལ	ཉིན་ཕྱེད་ཡུལ	1
ཉིདེ	ཉིན་ཕྱེད	1
ཉིནྱོཌ	ཉིན་ཕྱོགས	1
ཉིནྟུད	ཉིན་བསྟུན	1
ཉིནྱེདབངོ་	ཉིན་བྱེད་དནང་བོ	1
ཉིནྃཁོའི	ཉིན་མཁོའི	1
ཉིནྃཐརྱེད	ཉིན་མཐར་བྱེད	1
ཉིནྃཚན	ཉིན་མཚན	1
ཉིྃཚན	ཉིན་མཚན	1
ཉིཚན	ཉིན་མཚན	1
ཉི༹ན	ཉིན་མཚན	1
ཉིན༹	ཉིན་མཚན	1
ཉིནོྃ	ཉིན་མོ	1
ཉིནོྃའི	ཉིན་མོའི	1
ཉིནོྃའིདགོ	ཉིན་མོའི་བདག་པོ	1
ཉིནྠོྃའི	ཉིན་མོའི་མཐའ	1
ཉིནོྃའིདྲེན	ཉིན་མོའི་འདྲེན	1
ཉིནོྃའིབྱུཾས	ཉིན་མོའི་འབྱུང་ནས	1
ཉིནཽཾའི	ཉིན་མོའི	1
ཉིནོྃའི	ཉིན་མོའི	1
ཉིནོའི	ཉིན་མོའི	1
ཉིནོྃརགའྲལ	ཉིན་མོར་དགའ་བྲལ	1
ཉིནཽཾརདེའི	ཉིན་མོར་བྱེད་པའི	1
ཉིནཚད	ཉིན་ཚད	1
ཉིན༹ད	ཉིན་ཚད	1
ཉིནུཚཌ	ཉིན་ཚུགས	1
ཉིནགཟའ	ཉིན་ཞག་གཟའ	1
