transcription	normalisation
ཏཱན་ཏཱིག	ཏན་ཏན་ཏིག་ཏིག
ཏིགིས	ཏིག་གིས
ཏིངེཛིན	ཏིང་ངེ་འཛིན
ཏེངཛིན	ཏིང་ངེ་འཛིན
ཏིངི༹ན	ཏིང་ངེ་འཛིན
ཏིངེ༹ནི	ཏིང་ངེ་འཛིན
ཏིིིངིིིནིིི	ཏིང་འཛིན་ཇི་བཞིན་རིག་ཅིང་གཟིགས་ཤིང་འཛིན
ཏིང༹ནི	ཏིང་འཛིན
ཏིངི་ན༹	ཏིང་འཛིན
ཏིངིན༹	ཏིང་འཛིན
ཨིངི༹ན	ཏིང་འཛིན
ཏིངག	ཏིང་ཤག
ཏིངགས	ཏིང་ཤགས
ཏུཤར	ཏུ་ཤར
ཏོགི་བླཽས	ཏོག་གི་བློ་གྲོས
ཏྲེསམ	ཏྲེས་སམ
ཚ་ཞང	ཐ་བོ་དང་ཞང་པོ
ཐྯེཾར	ཐ་མ་ཟེར
ཐགཅོད་པ	ཐག་གཅོད་པ
ཐགིས	ཐག་གིས
ཐགྕུངྯད	ཐག་ཅུང་ཟད
ཐགྣི	ཐག་ནི
ཐགྱེདཀ	ཐག་ཕྱེད་ཀ
ཐགྶྐུད	ཐག་སྐུད
ཐུདཾང	ཐགས་དམ་བསྐང
ཐྱདམ	ཐགས་དམ་བསྐང
ཐངཾ	ཐང་མ
ཐྴིང	ཐང་ཤིང
ཐདྐ	ཐད་ཀ
ཐདུ	ཐད་དུ
ཐདྲང༌	ཐད་དྲང༌
ཐདྶོ	ཐད་སོ
ཐནོ	ཐན་ཐོན
ཐབསྱི	ཐབས་ཀྱི
ཐབསྱ་ཇུསྟོང	ཐབས་བརྒྱ་ཇུས་སྟོང
ཐབཾས	ཐབས་མཁས
ཐབེས	ཐབས་ཤེས
ཐབེས	ཐབས་ཤེས
ཐབསུ	ཐབས་སུ
ཐབསུ	ཐབས་སུ
ཐམོ	ཐམ་ཐོམ
ཐཾ་པ	ཐམ་པ
ཐཾཔ	ཐམ་པ
ཐཾ	ཐམ
ཐྃདི	ཐམས་ཅད་ཀྱི
ཐྃདགེ	ཐམས་ཅད་དགེ
ཐཾད་མྱེན་པ	ཐམས་ཅད་མཁྱེན་པ
ཐྃདསྐྱོབ	ཐམས་ཅད་སྐྱོབ
ཐྃད	ཐམས་ཅད
ཐསྩཾད	ཐམས་ཅད
ཐཾཨད	ཐམས་ཅད
ཐརོ	ཐར་ཐོར
ཐརུ	ཐར་ནུ
ཐརའི	ཐར་པའི
ཐལོཾ	ཐལ་མོ
ཐལྱུར	ཐལ་འགྱུར
ཐལྕག	ཐལ་ལྕག
ཐིགདབ	ཐིག་གདབ
ཐིགདེབསྱེདཾ	ཐིག་འདེབས་བྱེད་ཀྱི
ཐིགེ	ཐིག་ལེ
ཐིགླེ	ཐིག་ལེ
ཐིེག	ཐིག་ལེ
ཐིཾ་པ	ཐིམ་པ
ཐིམོ	ཐིམ་མོ
ཐིཞེསརྡོཚན	ཐིམ་ཞེས་རྡོ་ཚན
ཐྱར	ཐུགས་ཀར
ཐུགིས	ཐུགས་ཀྱིས
ཐུགོངས	ཐུགས་དགོངས
ཐྱདཾན	ཐུགས་དམ་ཅན
ཐུཾདང༌	ཐུགས་དམ་བསྐང༌
ཐྱདཾང	ཐུགས་དམ་བསྐང༌
ཐུཊཾ	ཐུགས་དམ
ཐྱདཾ	ཐུགས་དམ
ཐྱར	ཐུགས་དཀར
ཐུགསེ༹	ཐུགས་བརྩེ
ཐུཊེ༹	ཐུགས་བརྩེ
ཐེུ༹གས	ཐུགས་བརྩེ
ཐེུག༹ས	ཐུགས་བརྩེ
ཐེུ༹ཊ	ཐུགས་བརྩེ
ཐེུགས་ཆེནོ	ཐུགས་རྗེ་ཆེན་པོ
ཐཻུནོ	ཐུགས་རྗེ་ཆེན་པོ
ཐྱོེེན	ཐུགས་རྗེ་ཆེན་པོ
ཐྱེེོནའི	ཐུགས་རྗེ་ཆེན་པོའི
ཐུཊེ	ཐུགས་རྗེ
ཐེུགས	ཐུགས་རྗེ
ཐེུཊ	ཐུགས་རྗེ
ཐྱེ	ཐུགས་རྗེ
ཐྱེའི	ཐུགས་རྗེའི
ཐྱེས	ཐུགས་རྗེས
ཐུཊེའི	ཐུགས་ལེགས་པའི
ཐུཊེ་རིནེ	ཐུགས་ལེགས་རིན་ཆེན
ཐུཊེ	ཐུགས་ལེགས
ཐུཊ	ཐུགས
ཐུཌ་	ཐུགས་
ཐུཌ	ཐུགས
ཐྱས	ཐུགས
ཐཱུང	ཐུང་ཐུང
ཐུངཉཾ	ཐུང་མཉམ
ཐུནསྱེང	ཐུན་གསེང
ཐུནྲུག	ཐུན་དྲུག
ཐུནརུ	ཐུན་བར་དུ
ཐུནི	ཐུན་བཞི
ཐིུན	ཐུན་བཞི
ཐུནཾཚྣྃས	ཐུན་མཚམས་ནས
ཐུནཾ༹ས	ཐུན་མཚམས
ཐིུན	ཐུན་མིན
ཐོུངསོ	ཐུན་མོང་ཆོས
ཐུནོཾང༌	ཐུན་མོང༌
ཐོུང༌	ཐུན་མོང༌
ཐུནོང	ཐུན་མོང
ཐུནཾཨོངས	ཐུན་མོངས
ཐུབེན	ཐུབ་ཆེན
ཐེུན	ཐུབ་ཆེན
ཐུབང	ཐུབ་དང
ཐུབང༌	ཐུབ་དབང༌
ཐུབསྟན	ཐུབ་བསྟན
ཐུབོ	ཐུབ་བོ
ཐུབོ༹ད	ཐུབ་ཚོད
ཐུརཔྱདར	ཐུར་དཔྱད་བར
ཐེོཾད	ཐེ་ཚོམ་མེད
ཐོེེདཾ	ཐེ་ཚོམ་མེད
ཐེོཾ	ཐེ་ཚོམ
ཐོེ	ཐེ་ཚོམ
ཐེགེན	ཐེག་ཆེན
ཐེེགན	ཐེག་ཆེན
ཐེགན	ཐེག་དམན
ཐེགའིཇུགྶྒོ་	ཐེག་པའི་འཇུག་སྒོ་
ཐེགའི	ཐེག་པའི
ཐྲེངས	ཐེའུ་རངས
ཐཻར	ཐེར་ཐེར
ཐེརང	ཐེར་རང
ཐེརྨུཌ	ཐེར་རྨུགས
ཐེལེ༹	ཐེལ་ཚེ
ཐོང	ཐོ་དང
ཐྲོངེས	ཐོ་རེངས
ཐྲོེངས	ཐོ་རེངས
ཐོགིས	ཐོག་གིས
ཐོགུ	ཐོག་གུ
ཐོགྠག	ཐོག་ཐག
ཐོགྃ་	ཐོག་མ་
ཐོགཾར	ཐོག་མར
ཐོགེཾད	ཐོག་མེད
ཐོཨེགད	ཐོག་མེད
ཐོཊེཾད་ཀྱིས༹དའི	ཐོགས་མེད་ཀྱིས་མཛད་པའི
ཐོཊེཾད	ཐོགས་མེད
ཐོགསོ	ཐོགས་སོ
ཐོཌ	ཐོགས
ཐྲོག	ཐོད་ཁྲག
ཐྲོདག	ཐོད་ཁྲག
ཐོདག	ཐོད་ཁྲག
ཐྲོག	ཐོད་ཁྲག
ཐོདར	ཐོད་གར
ཐཽད	ཐོད་ཐོད
ཐྲོེང༌	ཐོད་ཕྲེང༌
ཐྲོདེང༹ལ	ཐོད་ཕྲེང་ཚལ
ཐྲོེདང༹ལ	ཐོད་ཕྲེང་རྩལ
ཐྲདོེང	ཐོད་ཕྲེང
ཐོནྲི	ཐོན་དྲི
ཐོབུས	ཐོབ་དུས
ཐོབའི	ཐོབ་པའི
ཐོབརོག	ཐོབ་པར་ཤོག
ཐབཽརག	ཐོབ་པར་ཤོག
ཐོབར	ཐོབ་པར
ཐོབྱ	ཐོབ་བྱ
ཐོམུ	ཐོམ་བུ
ཐོུར༹ག	ཐོར་གཙུག
ཐོརོག	ཐོར་ཅོག
ཐོསི༹ན	ཐོས་འཛིན
དཀུབ	དཀའ་ཐུབ
དཀའང	དཀའ་དང
དཀའི	དཀའ་བའི
དཀའགྲེལ	དཀའ་འགྲེལ
དཀྲེལ	དཀའ་འགྲེལ
དཀྱད	དཀའ་སྤྱད
དཀའྱ྄ད	དཀའ་སྤྱོད
དཀརྖག	དཀར་ཆག
དཀརགིས	དཀར་ནག་གིས
དཀརོ	དཀར་པོ
དཀོར	དཀར་བོ
དཀོཊ	དཀར་ཕྱོགས
དཀྱོགས	དཀར་ཕྱོགས
དཀརེ	དཀར་མེ
དཀརཾཨོ	དཀར་མོ
དཀརིངགྲོསཟང་	དཀར་ཞིང་འགྲོས་བཟང་
དཀརོལ	དཀར་ཡོལ
དཀོལ	དཀར་ཡོལ
དཀརྩི	དཀར་རྩི
དཀཽག	དཀོན་ཅོག
དཀོནོ	དཀོན་ནོ
དཀཽན	དཀོན་པོ
དཀཽག	དཀོན་མཆོག
དཀོག	དཀོན་མཆོག
དཀཽགསུཾ་ལ་སྐྱབསུ་མཆི	དཀོན་མཆོག་གསུམ་ལ་སྐྱབས་སུ་མཆི
དཀཽགསུཾ	དཀོན་མཆོག་གསུམ
དཀཽནགསུཾ	དཀོན་མཆོག་གསུམ
དཀོོག	དཀོན་མཆོག
དཀཽན	དཀོན་མོ
རྐོན	དཀོན
དཀོརཉྱེར	དཀོར་གཉེར
དཀཽར	དཀོར་ནོར
དཀོོར	དཀོར་ནོར
དཀྱིུང༌	དཀྱིལ་ཀྲུང༌
སྐྱིུང	དཀྱིལ་དཀྲུང
དཀྱིལོར་རྒྱོཾ	དཀྱིལ་འཁོར་རྒྱ་མཚོ
དཀྱིརོ	དཀྱིལ་འཁོར
དཀྱིལོར	དཀྱིལ་འཁོར
དཀྱོིར	དཀྱིལ་འཁོར
དཀྱོིལར	དཀྱིལ་འཁོར
དིརོ	དཀྱིལ་འཁོར
དོིར	དཀྱིལ་འཁོར
དལ	དཀྱིལ
དཀྲུཾའ	དཀྲུམ་མདའ
ཀྲོངསོ	དཀྲོངས་སོ་
དགིས	དག་གིས
དགྱེད	དག་བྱེད
དགྃཚས	དག་མཚམས
དགགཞག	དགག་གཞག
དགབྱ	དགབ་བྱ
དགཱའ	དགའ་དགའ
དགའི	དགའ་བའི
དགའོྃད	དགའ་མེད
དག༹ལ	དགའ་ཚལ
དགའཁྱིལ	དགའ་འཁྱིལ
འགྱིལ	དགའ་འཁྱིལ
དགའདུན	དགའ་འདུན
དགའོ	དགའ་འོ
དགའྡན	དགའ་ལྡན
དགྲོ	དགའ་སྤྲོ
དགུཏོར	དགུ་གཏོར
དགིུ༹ཊ	དགུ་ཚིགས
དགུ	དགུ
དགིུག	དགུང་ཐིག
དགུམོ	དགུམ་མོ
དགིུར	དགུའི་བར
དགེཡོག	དགེ་གཡོག
དགེོམས	དགེ་གོམས
དགེ་སྡིག	དགེ་བ་དང་སྡིག་པ
དགེ་བཱི	དགེ་བའི
དགེར	དགེ་བར
དགེེེེེེེ	དགེ་བཤེས་པེང་གེ་བྲེ་རེ་ཁྱེར
དགེསེ	དགེ་བཤེས
དགེེས	དགེ་བཤེས
དགཻན	དགེ་བསྙེན
དགེནྙེ	དགེ་བསྙེན
དགྙེེན	དགེ་བསྙེན
དགེ༹ན	དགེ་མཚན
དགེུ༹ལ	དགེ་ཚུལ
དགེུནཉུགརྃ	དགེ་འདུན་གཉུག་མར
དགེུན	དགེ་འདུན
དགེུན	དགེ་འདུན
དགེརྩ	དགེ་རྩ
དགེུགས	དགེ་ལུགས
དགེུཊ	དགེ་ལུགས
དགྲེུབ	དགེ་སྒྲུབ
དགླེངོཾ	དགེ་སློང་མ
དགེངོ༌	དགེ་སློང༌
དགླེངོ༌	དགེ་སློང༌
དགླེོང	དགེ་སློང
དགློེང	དགེ་སློང
དགློེང	དགེ་སློང
དེགོང	དགེ་སློང
དགླེངོ	དགེ་སློང
དགོསླགཾ	དགོ་སླག་གམ
དགོངོྃ	དགོང་མོ
དགོངསཾ	དགོངས་སམ
དགོངསོུལོ	དགོངས་སུ་གསོལ་ལོ
རྒོད	དགོད
དགོནས	དགོན་གནས
རྒོནས	དགོན་གནས
རྒོན	དགོན
དགྱཻ	དགྱེ་དགྱེ
དགྱེརོ	དགྱེས་རྡོར
དགྲག	དགྲ་ཁྲག
དགྲཉེན	དགྲ་གཉེན
དགྲོགས	དགྲ་གྲོགས
དགྲེགས	དགྲ་བགེགས
དགྲེཊ	དགྲ་བགེགས
དོགྲམ	དགྲ་བཅོམ་
དགྲོཾ	དགྲ་བཅོམ
གྲོྃ	དགྲ་བཅོམ
དགྲོམ	དགྲ་བཅོམ
དགྲླ	དགྲ་ཟླ
དགླ	དགྲ་ཟླ
དགླ	དགྲ་ཟླ
དངོ་	དང་བོ་
དངོའི་	དང་བོའི་
དངོའི་	དང་བོའི
དངོར	དང་པོར
དངངསྐྲག	དངངས་སྐྲག
དངོཾ	དངོམ
དངོནས	དངོས་གནས
དངོསཞྱིའི	དངོས་གཞིའི
དངོསི	དངོས་གཞི
དངོིས	དངོས་གཞི
དངོུབ༹ལོ	དངོས་གྲུབ་འཚོལ
དངོ་བྲུ༹ལོ	དངོས་གྲུབ་རྩོལ
དངོབརûལོ	དངོས་གྲུབ་རྩོལ
དངོུབ༹ལོ	དངོས་གྲུབ་སྩོལ
ངྲོུབ	དངོས་གྲུབ
ངྲོུབ	དངོས་གྲུབ
དགྲོུབ	དངོས་གྲུབ
དངོསྲུབ	དངོས་གྲུབ
དངྲོུབ	དངོས་གྲུབ
དདྲོུབ	དངོས་གྲུབ
དངཽས	དངོས་པོ
དངོསོ	དངོས་པོ
དངཽས	དངོས་བོ
དངོསེན	དངོས་ཞེན
དངོས་འཇུགསུཾ	དངོས་འཇུག་གསུམ
དངོ༹ནི	དངོས་འཛིན
དངུསུ	དངོས་སུ
དངོསུ	དངོས་སུ
དངོསློབ	དངོས་སློབ
དདའི་	དད་པའི་
དཔགེད	དཔག་མེད
དཔགེཾད	དཔག་མེད
དཔགཚདསྟོང	དཔག་ཚད་སྟོང
དཔངྻིག	དཔང་ཡིག
དཔའེན	དཔའ་ཆེན
དཔའོ	དཔའ་བོ
དཔའོཾ	དཔའ་མོ
དཔོཾའ	དཔའ་མོ
དཔལྱི་ལུང༌	དཔལ་གྱི་ལུང༌
དཔལྱི	དཔལ་གྱི
དཔལེན	དཔལ་ཆེན
དཔལྱེན	དཔལ་ཆེན
དཔལྙི	དཔལ་ཉི
དཔལེ	དཔལ་བེ
དཔལྦེ	དཔལ་བེ
དཔལེ	དཔལ་བེའུ
དཔལྦེའུ	དཔལ་བེའུ
དཔྲེང༌	དཔལ་འཕྲེང༌
དཔལྲེང	དཔལ་འཕྲེང
དཔལར	དཔལ་འབར
དཔལྱོར	དཔལ་འབྱོར
དཔལི༹ན	དཔལ་འཛིན
དཔལོན	དཔལ་ཡོན
དཔལྡན་ལྷོཾ	དཔལ་ལྡན་ལྷ་མོ
དཔལྡན	དཔལ་ལྡན
དཔོུགས	དཔུང་ཆོགས
དཔོུགས	དཔུང་ཚོགས
དཔོུཊ	དཔུང་ཚོགས
དཔྖེའོ	དཔེ་ཆའོ
དཔྱེདཉིསྙནཉྃ	དཔེ་བྱད་གཉིས་སྙན་མཉམ
དཔྱེད	དཔེ་བྱད
དཔེཉྃདི	དཔེ་མཉམ་ཉིད
པྡེ	དཔེ་ལྔ
དཔེརྣ	དཔེར་ན
དཔེརྗོད	དཔེར་བརྗོད
དཔེོད	དཔེར་བརྗོད
དཔེརོ༹ན	དཔེར་མཚོན
དཔོནོག	དཔོན་གཡོག
དཔཽག	དཔོན་གཡོག
དོཔནོག	དཔོན་གཡོག
དཔོནསས	དཔོན་གསས
དཔཽན	དཔོན་པོ
དཔོཾན	དཔོན་པོ
དཔོཾན	དཔོན་མོ
དཔླཽན	དཔོན་སློབ
དཔློན	དཔོན་སློབ
དཔློབོ	དཔོན་སློབ
དཔྱིདུས	དཔྱིད་དུས
དབངེནཾ	དབང་ཆེན་མ
དབངེན	དབང་ཆེན
དབངེན	དབང་ཆེན
དབྲངག	དབང་དྲག
དབྲཾག	དབང་དྲག
དབངོ༌	དབང་པོ
དབངོསི	དབང་པོའི་གནས
དབངོའི	དབང་པོའི
དབྱུངགཾ	དབང་ཕྱུག་མ
དབྱུངག	དབང་ཕྱུག
དབྱུཾག	དབང་ཕྱུག
དབྱུག	དབང་ཕྱུག
དབངོ	དབང་བོ
དབུངར	དབང་བསྐུར
དབུཾར	དབང་བསྐུར
དབྱུར	དབང་བསྒྱུར
དབངོཾ༌	དབང་མོ
དབྱོོངར	དབང་འབྱོར
དབལྡན	དབལ་ལྡན
དབསྔོན	དབང་སྔོན
དབྱུད	དབུ་ཁྱུད
དབོུད	དབུ་ཐོད
དབུཞུགས	དབུ་བཞུགས
དབུསྙུངས་པ	དབུ་བསྙུངས་པ
དབུཾ་བ	དབུ་མ་བ
དབུཾ	དབུ་མ
དབུ༹ད	དབུ་མཛད
དབེུད	དབུ་མེད
དབེུཾད	དབུ་མེད
དབུཊོབ	དབུགས་ཐོབ
དབོུབས	དབུགས་ཐོབ
དབུགསྐྱེས	དབུགས་སྐྱེས
དབུརྡོ	དབུར་རྡོ
དབུལོ	དབུལ་པོ
དབུསྃ་	དབུས་མ་
དབུསྃང་	དབུས་མ་དང་
དབུསུ	དབུས་སུ
དབེནས	དབེན་གནས
དབྱངསྱིསྙདའི་	དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ
དབྱངལ	དབྱངས་གསལ
དབྱརྱི	དབྱར་གྱི
དབྱརོསྮེསྙནྲཌ	དབྱར་ཆོས་ཞེས་སྙན་གྲགས
དབྱརྔ	དབྱར་རྔ
དབྱརྩྭ	དབྱར་རྩྭ
དབྱིགཉེནྱི	དབྱིག་གཉེན་གྱི
དབྱིགཉེནྱིས༹དའི	དབྱིག་གཉེན་གྱིས་མཛད་པའི
དབྱིགཉེནྱིས	དབྱིག་གཉེན་གྱིས
དབྱིགཉེན	དབྱིག་གཉེན
དབྱིགི་བླཽསཾ	དབྱིག་གི་བློ་གྲོས་མ
དབྱིགི་བླཽས	དབྱིག་གི་བློ་གྲོས
དབྱིགེས	དབྱིག་བཤེས
དབྱིགི༹ནཾ	དབྱིག་འཛིན་མ
དབྱིུངག	དབྱིངས་ཕྱུག
དབྱིུཾག	དབྱིངས་ཕྱུག
དབྱིུངགཾ	དབྱིངས་ཕྱུག་མ
སྦིུགཾ	དབྱིངས་ཕྱུག
དབྱིངསུ	དབྱིངས་སུ
དབྱིབསྣི་	དབྱིབས་ནི་
དབྱུ་གུཅིག་པ	དབྱུ་གུ་གཅིག་པ
དབྱུགི༹ན	དབྱུག་འཛིན
དབྱེནྱི་སྦྱོར་བ	དབྱེན་གྱི་སྦྱོར་བ
དབྱཻརད	དབྱེར་མེད
དབྱེརེད	དབྱེར་མེད
དབྱེརེཾད	དབྱེར་མེད
དབྲབྱ	དབྲབ་བྱ
དཾན	དམ་ཅན
དམ༹ན	དམ་ཅན
དཾ་པའི་ཆོསྱི	དམ་པའི་ཆོས་ཀྱི
དཾའི	དམ་པའི
དཾའ	དམ་བཅའ
དྃསྒྲཌ་	དམ་བསྒྲགས་
དྃན	དམ་མིན
ད༹ཾག	དམ་ཚིག
ད༹ཾགི	དམ་ཚིག
དམི༹ག	དམ་ཚིག
དཾགི༹སུཾ	དམ་ཚིག་གསུམ
ད༹ཾས	དམ་རྫས
དམ༹ས	དམ་རྫས
དཾ	དམ
དམགི	དམག་གི
དམགིས་བཅོཾ	དམག་གིས་བཅོམ
དམགིས་འཇོཾས	དམག་གིས་འཇོམས
དམུང༌	དམག་དཔུང༌
དམོན	དམག་དཔོན
དམོ༹ཊ	དམག་ཚོགས
དོམ༹གས	དམག་ཚོགས
དམྲུག	དམག་འཁྲུག
དཾངསྲིད	དམངས་སྲིད
དམའབེབས	དམའ་འབེབས
དཾརསུར	དམར་གསུར
དམཱར	དམར་དམར
དམརག	དམར་ནག
དཾརོ	དམར་པོ
དམརོ	དམར་པོ
དམོར	དམར་པོ
དྃརོ་	དམར་བོ་
དྃརོརསྒྱུར	དམར་བོར་སྒྱུར
དམརེངས	དམར་རེངས
དཾརེར	དམར་སེར
དེྃར	དམར་སེར
དྃར	དམར
དམིལ	དམིགས་བསལ
དམིཌྃདེ	དམིགས་མེད
དམིུལ	དམིགས་ཡུལ
དམིཌ་	དམིགས་
དམོདོར་བ	དམོད་དོར་བ
རྨོད	དམོད
དམྱཾས	དམྱལ་ཁམས
དརི	དར་དིར
དརྥུལ	དར་ཕུལ
དར་ངྱས	དར་རྒྱས
དར་ངྱས	དར་རྒྱས
དརཤིངློང	དར་ཤིང་སློང
དརྐབས	དར་སྐབས
དརསྲིནསྱོ	དར་སྲིན་གསོ
དལྱད	དལ་བརྒྱད
དལྱོར	དལ་འབྱོར
དླྱོར	དལ་འབྱོར
དལྱོར	དལ་འབྱོར
དལེན	དལ་རྟེན
དུགོངསྙྃ	དུ་དགོངས་སྙམ
དིུག	དུ་ཞིག
དུགྲོ	དུ་འགྲོ
དུརྩ་	དུ་རྩ་
དུགསུུུུུུཾ	དུག་གསུམ་བདུད་ཀུན་མྱུར་དུ་བབྟུ་ནུས་སུ
དུགསུཾ	དུག་གསུམ
དུགསུམ	དུག་གསུམ
དུགྲད	དུག་སྲད
དུགྔ	དུག་ལྔ
དཱུང	དུང་དུང
དྲོུ	དུད་འགྲོ
དུདགྲོའོ་	དུད་འགྲོའོ་
དུནས	དུན་ལས
དུྃབུསུྃསུྃ	དུམ་བུ་གསུམ་གསུམ
དུྃབུཅིུསྃ་	དུམ་བུ་བཅུ་གཉིས་
དུྃ	དུམ
དུརྲོད	དུར་ཁྲོད
དོུད	དུར་ཁྲོད
དྲོུད	དུར་ཁྲོད
དྲོུརད	དུར་ཁྲོད
དུརོད	དུར་ཁྲོད
དུརས	དུར་ས
དུསྐུནྔོ་	དུས་ཀུན་སྔོ་
དུབྱིག	དུས་ཀྱི་དབྱིག
དུས་ཀྱིད	དུས་ཀྱི་དབྱིགས
དུསིཊ	དུས་ཀྱི་དབྱིགས
དུསྱི	དུས་ཀྱི
དུསུཾ	དུས་གསུམ
དུསུམ	དུས་གསུམ
བདུསུཾ	དུས་གསུམ
དུསྲུགྟུ	དུས་དྲུག་ཏུ
དུསཾ་ེཕོརཾ	དུས་མེ་ཕོར་རམ
དུསྲོལ	དུས་འབྲེལ
དུསཡུནི	དུས་ཡུན་ནི
དུསུ	དུས་སུ
དུསྙིཌ་	དུས་སྙིགས་
དོུད	དུས་ཆོད
དོུསད	དུས་ཆོད
དུབྱིད	དུས་དབྱིགས
དུསྱིགས	དུས་དབྱིགས
དུསོད	དུས་མཆོད
དུཾའ	དུས་མཐའ
དུསོ༹ད	དུས་ཚོད
དུསུ	དུས་སུ
དེདི་	དེ་ཉིད་
དེག	དེ་དག
དེགི	དེ་དག་གི
དེགིས	དེ་དག་གིས
དེགོང	དེ་དག
དེུས	དེ་དུས
དེོན	དེ་དོན
དེ་བཞིནེཊ	དེ་བཞིན་གཤེགས་པ
དེནིཊེ་པ	དེ་བཞིན་གཤེགས་པ
དེནིཊེ	དེ་བཞིན་གཤེགས
དེནིཌེ་	དེ་བཞིན་གཤེགས་
དེབཞིངེས	དེ་བཞིན་གཤེགས
དེ་བཞིནིད	དེ་བཞིན་ཉིད
དེནིདི	དེ་བཞིན་ཉིད
དེབཞིནདི	དེ་བཞིན་ཉིད
དེནིུ	དེ་བཞིན་དུ
དླེས	དེ་ལས
དེསྲིདུ	དེ་སྲིད་དུ
དླེདུ	དེ་སླད་དུ
དེངསྐབསའི	དེང་སྐབས་སའི
དེདཔོན	དེད་དཔོན
དཻར	དེབ་ཐེར
དེམེ	དེམ་པེ
དེའིར	དེའི་ཕྱིར
དོགོང	དོ་དགོང
དཽག	དོག་དོག
དོགོ	དོག་པོ
དོཌ་	དོགས་
དོཌ་	དོགས་
དོངེ༹	དོང་ཙེ
དོདསོ	དོད་པོས
དོུན	དོན་ཀུན
དོནྲུབ	དོན་གྲུབ
དོནྲུབ	དོན་གྲུབ
དྲོུབ	དོན་གྲུབ
དོནན	དོན་ཅན
དོནམ	དོན་དམ
དོཾན	དོན་དམ
དོནུ	དོན་དུ
དོནི་	དོན་ནི་
དོན༹ད་པ	དོན་མཛད་པ
དོ༹ན	དོན་ཚན
དོནྯབཚིག	དོན་ཟབ་ཚིག
དོནྱུར	དོན་འགྱུར
དནྲཽུདབ	དོན་ཡོད་གྲུབ
དོནྲོུབ	དོན་ཡོད་གྲུབ
དཽནད	དོན་ཡོད
དོནོད	དོན་ཡོད
དོནུའིར	དོན་སྒྲུབ་པའི་ཕྱིར
དོནི	དོན་སྤྱི
དོམཁྲིས	དོམ་མཁྲིས
དོརྟ	དོར་རྟ
དྭཌ་	དྭགས་
དྭཌ	དྭགས
དྭངལ	དྭངས་གསལ
དྭངསྙིག	དྭངས་སྙིག
དྲགྲོས	དྲག་ཁྲོས
དྲོགསུཾ	དྲག་པོ་གསུམ
དྲོག༹ལ	དྲག་པོ་རྩལ
དྲགོ	དྲག་པོ
དྲོག	དྲག་པོ
དྲག༹ལ	དྲག་རྩལ
དྲགུལ	དྲག་ཤུལ
དྲགོས	དྲག་ཤོས
དྲཌ	དྲགས
དྲངེས	དྲང་ངེས
དྲངོའོ་	དྲང་བོའོ་
དྲངརོ	དྲང་བོར
དྲངིཾན	དྲང་མིན
དྲངངི་	དྲང་ཞིང་
དྲངྲོང༌	དྲང་སྲོང༌
དྲངྲོང༌	དྲང་སྲོང༌
དྲོང	དྲང་སྲོང
དྲངོང	དྲང་སྲོང
དྲནེར	དྲན་ཉེར
དྲནསྲིས	དྲན་ནས་བྲིས
དྲལྕམ	དྲལ་ལྕམ
དྲིབ	དྲི་ཆབ
དྲིཀུ་བ	དྲི་དཀུ་བ
དྲིནོ	དྲི་བཞོན
དྲིསུངཐུལ	དྲི་བསུང་འཐུལ
དྲིཆཾནཁུངགིརྔུལྖུའིདྲིའིཁྱད	དྲི་མཆན་ཁུང་གི་རྔུལ་ཆུའི་དྲིའི་ཁྱད
དྲིདེ་ྃའྱོདེ	དྲི་མེད་འོད་བྱེད
དྲིདེ	དྲི་མེད
དྲིདེཾ	དྲི་མེད
དྲིེད	དྲི་མེད
དྲིནན	དྲིན་ཅན
དྲིནེ	དྲིན་ཆེན
དྲིེན	དྲིན་ཆེན
དྲིནོེ	དྲིན་མོ་ཆེ
དྲླིན	དྲིན་ལན
དྲིའིྃང	དྲིའི་མིང
དྲིལུསྱིལཁརསྱིལ	དྲིལ་བུ་གསིལ་མཁར་གསིལ
དྲིལུ	དྲིལ་བུ
དྲིལྒྲ	དྲིལ་སྒྲ
དྲུགི	དྲུག་གི
དྲུགྟུ	དྲུག་ཏུ
དྲུགས་བཅུའིར	དྲུག་ནས་བཅུའི་བར
དྲུགྃ་	དྲུག་མ་
དྲུངུ	དྲུང་དུ
དྲུངྡུ	དྲུང་དུ
དྲིུག	དྲུང་ཞིག
དྲུངིག	དྲུང་ཡིག
དྲིུག	དྲུང་ཡིག
དྲོདཾདེ་	དྲོད་མེད་
དྲོདཚད	དྲོད་ཚད
ནཟང	ན་བཟང
ནའི་	ན་བའི་
ནོ༹ད	ན་ཚོད
ནྯུགླསྐྱེསྟེ	ན་ཟུག་ལས་སྐྱེས་ཏེ
ནྯུག	ན་ཟུག
ནྲེ	ན་རེ
ནེ	ན་རེ
ནྲེ	ན་རེ
ནྶོ་	ན་སོ་
ནགི	ནག་གི
ནགིས	ནག་གིས
ནགན	ནག་ཅན
ནགོ	ནག་ནོག
ནགོ	ནག་པོ
ནོག	ནག་པོ
ནགོཾ	ནག་མོ
ནོགམ	ནག་མོ
ནགསེབ	ནགས་གསེབ
ནགསཾ	ནགས་མ
ནགསེཾ	ནགས་མེ
ནགས	ནགས་སུ
ནགསྟུག་པོ	ནགས་སྟུག་པོ
ནཌསྱེངརྩྭསྱེང	ནགས་གསེང་རྩྭ་གསེང
ནཌ་	ནགས་
